# time  ID  size  fromHost  toHost  TTL  isResponse
267.0000 M1 1000000 s18 d0 43200 N 
565.0000 M2 1000000 s30 d0 43200 N 
636.0000 M3 1000000 s40 d0 43200 N 
886.0000 M4 1000000 s9 d0 43200 N 
957.0000 M5 1000000 s21 d0 43200 N 
1028.0000 M6 1000000 s39 d0 43200 N 
1091.0000 M7 1000000 s11 d0 43200 N 
1362.0000 M8 1000000 s20 d0 43200 N 
1519.0000 M9 1000000 s32 d0 43200 N 
1740.0000 M10 1000000 s40 d0 43200 N 
1801.0000 M11 1000000 s38 d0 43200 N 
2016.0000 M12 1000000 s19 d0 43200 N 
2124.0000 M13 1000000 s39 d0 43200 N 
2247.0000 M14 1000000 s41 d0 43200 N 
2542.0000 M15 1000000 s38 d0 43200 N 
2815.0000 M16 1000000 s13 d0 43200 N 
2942.0000 M17 1000000 s42 d0 43200 N 
3115.0000 M18 1000000 s19 d0 43200 N 
3366.0000 M19 1000000 s17 d0 43200 N 
3659.0000 M20 1000000 s43 d0 43200 N 
3733.0000 M21 1000000 s15 d0 43200 N 
3806.0000 M22 1000000 s23 d0 43200 N 
4066.0000 M23 1000000 s10 d0 43200 N 
4133.0000 M24 1000000 s24 d0 43200 N 
4272.0000 M25 1000000 s9 d0 43200 N 
4380.0000 M26 1000000 s40 d0 43200 N 
4511.0000 M27 1000000 s31 d0 43200 N 
4662.0000 M28 1000000 s32 d0 43200 N 
4833.0000 M29 1000000 s31 d0 43200 N 
5024.0000 M30 1000000 s33 d0 43200 N 
5192.0000 M31 1000000 s18 d0 43200 N 
5441.0000 M32 1000000 s36 d0 43200 N 
5550.0000 M33 1000000 s31 d0 43200 N 
5683.0000 M34 1000000 s17 d0 43200 N 
5963.0000 M35 1000000 s33 d0 43200 N 
6098.0000 M36 1000000 s30 d0 43200 N 
6317.0000 M37 1000000 s44 d0 43200 N 
6393.0000 M38 1000000 s21 d0 43200 N 
6543.0000 M39 1000000 s33 d0 43200 N 
6714.0000 M40 1000000 s19 d0 43200 N 
6776.0000 M41 1000000 s44 d0 43200 N 
6929.0000 M42 1000000 s37 d0 43200 N 
7085.0000 M43 1000000 s8 d0 43200 N 
7238.0000 M44 1000000 s27 d0 43200 N 
7402.0000 M45 1000000 s21 d0 43200 N 
7576.0000 M46 1000000 s15 d0 43200 N 
7800.0000 M47 1000000 s22 d0 43200 N 
7926.0000 M48 1000000 s17 d0 43200 N 
8063.0000 M49 1000000 s14 d0 43200 N 
8149.0000 M50 1000000 s15 d0 43200 N 
8391.0000 M51 1000000 s27 d0 43200 N 
8651.0000 M52 1000000 s12 d0 43200 N 
8764.0000 M53 1000000 s25 d0 43200 N 
8961.0000 M54 1000000 s25 d0 43200 N 
9099.0000 M55 1000000 s23 d0 43200 N 
9318.0000 M56 1000000 s11 d0 43200 N 
9567.0000 M57 1000000 s13 d0 43200 N 
9832.0000 M58 1000000 s29 d0 43200 N 
10116.0000 M59 1000000 s9 d0 43200 N 
10179.0000 M60 1000000 s31 d0 43200 N 
10366.0000 M61 1000000 s36 d0 43200 N 
10571.0000 M62 1000000 s9 d0 43200 N 
10768.0000 M63 1000000 s28 d0 43200 N 
10886.0000 M64 1000000 s34 d0 43200 N 
11182.0000 M65 1000000 s43 d0 43200 N 
11377.0000 M66 1000000 s19 d0 43200 N 
11533.0000 M67 1000000 s22 d0 43200 N 
11629.0000 M68 1000000 s33 d0 43200 N 
11882.0000 M69 1000000 s13 d0 43200 N 
11953.0000 M70 1000000 s43 d0 43200 N 
12133.0000 M71 1000000 s20 d0 43200 N 
12284.0000 M72 1000000 s33 d0 43200 N 
12381.0000 M73 1000000 s11 d0 43200 N 
12477.0000 M74 1000000 s38 d0 43200 N 
12771.0000 M75 1000000 s17 d0 43200 N 
12961.0000 M76 1000000 s15 d0 43200 N 
13139.0000 M77 1000000 s24 d0 43200 N 
13267.0000 M78 1000000 s23 d0 43200 N 
