# time  ID  size  fromHost  toHost  TTL  isResponse
221.0000 M3 79931 s9 d0 300 N 
304.0000 M4 68122 s10 d0 300 N 
367.0000 M5 95971 s11 d0 300 N 
444.0000 M6 50554 s34 d0 300 N 
515.0000 M7 56241 s40 d0 300 N 
598.0000 M8 61032 s39 d0 300 N 
676.0000 M9 66703 s39 d0 300 N 
756.0000 M10 77347 s13 d0 300 N 
819.0000 M11 69587 s13 d0 300 N 
900.0000 M12 87686 s37 d0 300 N 
971.0000 M13 67273 s17 d0 300 N 
1042.0000 M14 78040 s15 d0 300 N 
1115.0000 M15 80680 s23 d0 300 N 
1202.0000 M16 95086 s24 d0 300 N 
1281.0000 M17 72848 s9 d0 300 N 
1368.0000 M18 61571 s27 d0 300 N 
1429.0000 M19 80271 s32 d0 300 N 
1511.0000 M20 91397 s8 d0 300 N 
1589.0000 M21 94029 s18 d0 300 N 
1655.0000 M22 76902 s19 d0 300 N 
1728.0000 M23 98700 s17 d0 300 N 
1808.0000 M24 90222 s27 d0 300 N 
1877.0000 M25 51216 s44 d0 300 N 
1957.0000 M26 95680 s24 d0 300 N 
2038.0000 M27 85202 s19 d0 300 N 
2113.0000 M28 69301 s13 d0 300 N 
2179.0000 M29 53373 s8 d0 300 N 
2259.0000 M30 83640 s19 d0 300 N 
2343.0000 M31 64884 s15 d0 300 N 
2425.0000 M32 59729 s42 d0 300 N 
2502.0000 M33 70826 s14 d0 300 N 
2583.0000 M34 72383 s14 d0 300 N 
2663.0000 M35 50773 s12 d0 300 N 
2737.0000 M36 57738 s26 d0 300 N 
2815.0000 M37 77199 s23 d0 300 N 
2875.0000 M38 67990 s24 d0 300 N 
2960.0000 M39 88064 s29 d0 300 N 
3044.0000 M40 78625 s21 d0 300 N 
3111.0000 M41 70945 s36 d0 300 N 
3172.0000 M42 63752 s29 d0 300 N 
3260.0000 M43 71516 s34 d0 300 N 
3324.0000 M44 79461 s41 d0 300 N 
3390.0000 M45 88356 s22 d0 300 N 
3462.0000 M46 95451 s27 d0 300 N 
3533.0000 M47 79000 s43 d0 300 N 
3607.0000 M48 62761 s29 d0 300 N 
3674.0000 M49 56756 s11 d0 300 N 
